"","player","role","matches_played","win_rate","kd"
"1","Loony","SMG",73,64.5,0.970075633015455
"2","TJHaly","SMG",73,64.5,0.984290843806104
"3","Gunless","AR",78,63.9,1.09954680418815
"4","Methodz","AR",67,63.8,1.20637693819611
"5","Octane","AR",69,62.4,1.17483276080275
"6","Crimsix","SMG",67,60.9,1.0969696969697
"7","Scump","SMG",67,60.9,1.04478427089022
"8","JKap","SMG",71,60.8,0.96742364917776
"9","John","SMG",71,60.8,1.02772073921971
"10","Slacked","SMG",71,60.8,1.00627211321968
"11","Karma","SMG",42,60.3,0.970076944998575
"12","Joee","SMG",71,59.8,0.84735985800917
"13","Rated","AR",71,59.8,1.0957671957672
"14","Zer0","SMG",71,59.8,1.02702702702703
"15","Formal","AR",70,59.2,1.14083119952728
"16","Accuracy","AR",80,58,1.07398643319136
"17","Kenny","SMG",80,58,1.06926470588235
"18","Attach","SMG",84,57.8,1.06563898557931
"19","Priestah","SMG",84,57.8,1.03325835475578
"20","Replays","AR",84,57.8,1.02332008982553
"21","Zoomaa","SMG",84,57.8,1.03558977338757
"22","Theory","SMG",52,57.2,0.827766416723472
"23","Slasher","AR",81,56.9,1.21265469757713
"24","Alex","SMG",38,56.8,1.00473243538406
"25","MajorManiak","AR",7,56.5,0.977040816326531
"26","Zed","SMG",37,56.2,0.996918335901387
"27","Chino","AR",70,55.7,1.03023171614772
"28","Felony","SMG",54,55.2,0.935178613674
"29","Silly","SMG",76,55.1,0.990294568363698
"30","Assault","AR",74,55,1.13674686407567
"31","Arcitys","AR",75,54.6,1.09651669085631
"32","Clayster","AR",75,54.6,1.07484769364665
"33","Prestinni","SMG",75,54.6,0.947534102833158
"34","Skrapz","SMG",69,54.5,1.07244094488189
"35","Fero","SMG",69,53.8,1.03397367484881
"36","Aches","AR",68,52.9,0.99028371550719
"37","Apathy","SMG",68,52.9,1.02097494659157
"38","Enable","SMG",74,52.7,0.989329839011606
"39","QwiKeR","SMG",12,52.1,0.90221187427241
"40","Joshh","SMG",59,52.1,0.917197452229299
"41","Classic","SMG",68,51.7,0.921605401350338
"42","Huke","SMG",68,51.7,1.06100641150185
"43","Tommey","SMG",49,51.4,1.00527373179307
"44","Goonjar","AR",26,51.3,1.01949025487256
"45","Royalty","SMG",26,51.3,1.03529411764706
"46","Xotic","SMG",26,51.3,1.00860832137733
"47","Seany","SMG",63,51.2,0.9
"48","Wuskin","AR",63,51.2,1.10565442667267
"49","Aqua","AR",60,50.7,1.08479079034758
"50","Proto","SMG",21,50.6,0.904239766081871
"51","Faccento","SMG",61,50.5,0.915871121718377
"52","Temp","SMG",70,50.5,1.0552380952381
"53","Saints","SMG",59,50.2,1.03038390474235
"54","Braaain","AR",7,50,0.992924528301887
"55","Decemate","SMG",65,49.4,1.02979683972912
"56","Peatie","SMG",13,49.1,0.892511013215859
"57","Bance","SMG",65,48.6,0.942787009063444
"58","MadCat","AR",65,48.6,1.05015466195316
"59","Jurd","SMG",61,48,0.987470800594606
"60","Moose","SMG",38,46.6,0.919284025667004
"61","Nameless","SMG",34,46.3,0.94908940397351
"62","Ricky","AR",55,45.8,0.976820416764224
"63","Parasite","AR",29,45.1,1.08443540183113
"64","Blazt","SMG",43,44.4,0.937392161695834
"65","Denza","SMG",8,44.4,0.996138996138996
"66","Bevils","SMG",25,44.3,0.896614268440145
"67","Study","SMG",13,44.2,0.903743315508021
"68","Buzzo","AR",57,43.8,0.959178912992769
"69","Denz","SMG",57,43.8,1.11554668440896
"70","Fighta","SMG",57,43.8,0.883172982525034
"71","Shockz","SMG",57,43.8,1.08709888670596
"72","Censor","SMG",41,43.4,0.826958667489204
"73","Abezy","SMG",20,43.4,1.01487491548343
"74","Diabolic","SMG",20,43.4,0.896792189679219
"75","Sender","AR",20,43.4,0.838440111420613
"76","GodRx","SMG",24,43.1,1.0251202565473
"77","Pandur","SMG",24,43.1,0.985611510791367
"78","Chain","SMG",6,42.9,0.852028639618138
"79","Maple","AR",6,42.9,0.893732970027248
"80","MarkyB","SMG",7,42.9,1.00867678958785
"81","Dashy","AR",42,42.3,1.20710255559243
"82","General","AR",32,41.5,0.944350758853288
"83","Nagafen","SMG",19,39.5,0.877717391304348
"84","Lacefield","SMG",28,39.1,0.966962524654832
"85","Maux","AR",20,38.2,1.07264957264957
"86","JurNii","SMG",11,33.3,0.968658178256611
"87","Lucky","SMG",11,33.3,1.03586065573771
"88","MethodZsick","SMG",11,33.3,0.950048971596474
"89","Sukry","AR",11,33.3,0.979402677651905
"90","Damage","AR",34,32.1,1.04918815663801
"91","Nimble","SMG",34,32.1,0.849387755102041
"92","Swiftazor","AR",34,32.1,0.876029654036244
"93","Swifty","SMG",34,32.1,0.89853249475891
"94","Nevo","AR",7,32,0.814385150812065
"95","Believe","SMG",20,31.2,0.972288202692003
"96","SpaceLy","SMG",14,29.8,0.881932021466905
"97","Blfire","AR",7,29.6,0.908560311284047
"98","Mayhem","SMG",23,29.5,0.886705959397512
"99","Nova","AR",23,29.5,0.932855280312907
"100","Spoof","SMG",23,29.5,0.961704756022236
"101","Reedy","SMG",37,29.1,0.88722669735328
"102","Dqvee","SMG",45,28.5,0.960508878876226
"103","Hawqeh","SMG",45,28.5,0.946073008849557
"104","Vortex","SMG",45,28.5,0.801059001512859
"105","GRVTY","SMG",8,27.6,0.840823970037453
"106","Tisch","SMG",8,27.6,0.850485436893204
"107","Nathan","AR",13,27.1,0.944388270980789
"108","Atlas","AR",8,25.8,0.853309481216458
"109","Breszy","SMG",8,25.8,0.915194346289753
"110","Natshay","SMG",8,25.8,0.890434782608696
"111","Riskin","SMG",26,25.4,0.860412926391382
"112","Malls","SMG",32,25.3,0.816976127320955
"113","Wailers","AR",32,25.3,1.03544620517098
"114","Zayrox","SMG",29,24.3,0.934664246823956
"115","Phantomz","AR",8,23.3,1.03490759753593
"116","Evas1on","SMG",7,20.6,0.857142857142857
"117","Naux","SMG",7,20.6,0.819354838709677
"118","LlamaGod","SMG",11,19,0.883631713554987
"119","Parzelion","AR",11,18.4,0.970769230769231
"120","Bidz","SMG",7,18.2,0.8775
"121","Cammy","SMG",7,18.2,0.865248226950355
"122","Enduraaa","AR",7,18.2,0.832
"123","Fastballa","SMG",9,12.9,0.792580101180438
"124","Johnny","AR",6,10,0.993788819875776
"125","Stamino","SMG",6,10,0.736147757255937
